M|15050,15080,15555,15630,15678,15888||000000-999999|
G|2252|Zülpich|00-9999999|
G|2253|Bad Münstereifel|00-9999999|
G|2254|Weilerswist|00-9999999|
G|2255|Euskirchen-Flamersheim|00-9999999|
G|2256|Mechernich-Satzvey|00-9999999|
G|2257|Reckerscheid|00-9999999|
G|2261|Gummersbach|00-9999999|
G|2262|Wiehl|00-9999999|
G|2263|Engelskirchen|00-9999999|
G|2264|Marienheide|00-9999999|
G|2265|Reichshof-Eckenhagen|00-9999999|
G|2266|Lindlar|00-9999999|
G|2267|Wipperfürth|00-9999999|
G|2268|Kürten|00-9999999|
G|2269|Kierspe-Rönsahl|00-9999999|
G|2271|Bergheim Erft|00-9999999|
G|2272|Bedburg Erft|00-9999999|
G|2273|Kerpen-Horrem|00-9999999|
G|2274|Elsdorf Rheinland|00-9999999|
G|2275|Kerpen-Buir|00-9999999|
G|228|Bonn|000-99999999|
G|2291|Waldbröl|00-9999999|
G|2292|Windeck Sieg|00-9999999|
G|2293|Nümbrecht|00-9999999|
G|2294|Morsbach Sieg|00-9999999|
G|2295|Ruppichteroth|00-9999999|
G|2296|Reichshof-Brüchermühle|00-9999999|
G|2297|Wildbergerhütte|00-9999999|
G|2301|Holzwickede|00-9999999|
G|2302|Witten|00-9999999|
G|2303|Unna|00-9999999|
G|2304|Schwerte|00-9999999|
G|2305|Castrop-Rauxel|00-9999999|
G|2306|Lünen|00-9999999|
G|2307|Kamen|00-9999999|
G|2308|Unna-Hemmerde|00-9999999|
G|2309|Waltrop|00-9999999|
G|231|Dortmund|000-99999999|
G|2323|Herne|00-9999999|
G|2324|Hattingen Ruhr|00-9999999|
G|2325|Wanne-Eickel|00-9999999|
G|2327|Bochum-Wattenscheid|00-9999999|
G|2330|Herdecke|00-9999999|
G|2331|Hagen Westfalen|00-9999999|
G|2332|Gevelsberg|00-9999999|
G|2333|Ennepetal|00-9999999|
G|2334|Hagen-Hohenlimburg|00-9999999|
G|2335|Wetter Ruhr|00-9999999|
G|2336|Schwelm|00-9999999|
G|2337|Hagen-Dahl|00-9999999|
G|2338|Breckerfeld|00-9999999|
G|2339|Sprockhövel-Haßlinghausen|00-9999999|
G|234|Bochum|000-99999999|
G|2351|Lüdenscheid|00-9999999|
G|2352|Altena Westfalen|00-9999999|
G|2353|Halver|00-9999999|
G|2354|Meinerzhagen|00-9999999|
G|2355|Schalksmühle|00-9999999|
G|2357|Herscheid Westfalen|00-9999999|
G|2358|Meinerzhagen-Valbert|00-9999999|
G|2359|Kierspe|00-9999999|
G|2360|Haltern-Lippramsdorf|00-9999999|
G|2361|Recklinghausen|00-9999999|
G|2362|Dorsten|00-9999999|
G|2363|Datteln|00-9999999|
G|2364|Haltern Westfalen|00-9999999|
G|2365|Marl|00-9999999|
G|2366|Herten Westfalen|00-9999999|
G|2367|Henrichenburg|00-9999999|
G|2368|Oer-Erkenschwick|00-9999999|
G|2369|Dorsten-Wulfen|00-9999999|
G|2371|Iserlohn|00-9999999|
G|2372|Hemer|00-9999999|
G|2373|Menden Sauerland|00-9999999|
G|2374|Iserlohn-Letmathe|00-9999999|
G|2375|Balve|00-9999999|
G|2377|Wickede Ruhr|00-9999999|
G|2378|Fröndenberg-Langschede|00-9999999|
G|2379|Menden-Asbeck|00-9999999|
G|2381|Hamm Westfalen|00-9999999|
G|2382|Ahlen Westfalen|00-9999999|
G|2383|Bönen|00-9999999|
G|2384|Welver|00-9999999|
G|2385|Hamm-Rhynern|00-9999999|
G|2387|Drensteinfurt-Walstedde|00-9999999|
G|2388|Hamm-Uentrop|00-9999999|
G|2389|Werne|00-9999999|
G|2391|Plettenberg|00-9999999|
G|2392|Werdohl|00-9999999|
G|2393|Sundern-Allendorf|00-9999999|
G|2394|Neuenrade-Affeln|00-9999999|
G|2395|Finnentrop-Rönkhausen|00-9999999|
G|2401|Baesweiler|00-9999999|
G|2402|Stolberg Rheinland|00-9999999|
G|2403|Eschweiler Rheinland|00-9999999|
G|2404|Alsdorf Rheinland|00-9999999|
G|2405|Würselen|00-9999999|
G|2406|Herzogenrath|00-9999999|
G|2407|Herzogenrath-Kohlscheid|00-9999999|
G|2408|Aachen-Kornelimünster|00-9999999|
G|2409|Stolberg-Gressenich|00-9999999|
G|241|Aachen|000-99999999|
G|2421|Düren|00-9999999|
G|2422|Kreuzau|00-9999999|
G|2423|Langerwehe|00-9999999|
G|2424|Vettweiss|00-9999999|
G|2425|Nideggen-Embken|00-9999999|
G|2426|Nörvenich|00-9999999|
G|2427|Nideggen|00-9999999|
G|2428|Niederzier|00-9999999|
G|2429|Hürtgenwald|00-9999999|
G|2431|Erkelenz|00-9999999|
G|2432|Wassenberg|00-9999999|
G|2433|Hückelhoven|00-9999999|
G|2434|Wegberg|00-9999999|
G|2435|Erkelenz-Lövenich|00-9999999|
G|2436|Wegberg-Rödgen|00-9999999|
G|2440|Nettersheim-Tondorf|00-9999999|
G|2441|Kall|00-9999999|
G|2443|Mechernich|00-9999999|
G|2444|Schleiden-Gemünd|00-9999999|
G|2445|Schleiden Eifel|00-9999999|
G|2446|Heimbach Eifel|00-9999999|
G|2447|Dahlem bei Kall|00-9999999|
G|2448|Hellenthal-Rescheid|00-9999999|
G|2449|Blankenheim Ahr|00-9999999|
G|2451|Geilenkirchen|00-9999999|
G|2452|Heinsberg Rheinland|00-9999999|
G|2453|Heinsberg-Randerath|00-9999999|
G|2454|Gangelt|00-9999999|
G|2455|Waldfeucht|00-9999999|
G|2456|Selfkant|00-9999999|
G|2461|Jülich|00-9999999|
G|2462|Linnich|00-9999999|
G|2463|Titz|00-9999999|
G|2464|Aldenhoven bei Jülich|00-9999999|
G|2465|Inden|00-9999999|
G|2471|Roetgen Eifel|00-9999999|
G|2472|Monschau|00-9999999|
G|2473|Simmerath|00-9999999|
G|2474|Nideggen-Schmidt|00-9999999|
G|2482|Hellenthal|00-9999999|
G|2484|Mechernich-Eiserfey|00-9999999|
G|2485|Schleiden-Dreiborn|00-9999999|
G|2486|Nettersheim|00-9999999|
G|2501|Münster-Hiltrup|00-9999999|
G|2502|Nottuln|00-9999999|
G|2504|Telgte|00-9999999|
G|2505|Altenberge Westfalen|00-9999999|
G|2506|Münster-Wolbeck|00-9999999|
G|2507|Havixbeck|00-9999999|
G|2508|Drensteinfurt|00-9999999|
G|2509|Nottuln-Appelhülsen|00-9999999|
G|251|Münster|000-99999999|
G|2520|Wadersloh-Diestedde|00-9999999|
G|2521|Beckum|00-9999999|
G|2522|Oelde|00-9999999|
G|2523|Wadersloh|00-9999999|
G|2524|Ennigerloh|00-9999999|
G|2525|Beckum-Neubeckum|00-9999999|
G|2526|Sendenhorst|00-9999999|
G|2527|Lippetal-Lippborg|00-9999999|
G|2528|Ennigerloh-Enniger|00-9999999|
G|2529|Oelde-Stromberg|00-9999999|
G|2532|Ostbevern|00-9999999|
G|2533|Münster-Nienberge|00-9999999|
G|2534|Münster-Roxel|00-9999999|
G|2535|Sendenhorst-Albersloh|00-9999999|
G|2536|Münster-Albachten|00-9999999|
G|2538|Drensteinfurt-Rinkerode|00-9999999|
G|2541|Coesfeld|00-9999999|
G|2542|Gescher|00-9999999|
G|2543|Billerbeck Westfalen|00-9999999|
G|2545|Rosendahl-Darfeld|00-9999999|
G|2546|Coesfeld-Lette|00-9999999|
G|2547|Rosendahl-Osterwick|00-9999999|
G|2548|Dülmen-Rorup|00-9999999|
G|2551|Steinfurt-Burgsteinfurt|00-9999999|
G|2552|Steinfurt-Borghorst|00-9999999|
G|2553|Ochtrup|00-9999999|
G|2554|Laer Kreis Steinfurt|00-9999999|
G|2555|Schöppingen|00-9999999|
G|2556|Metelen|00-9999999|
G|2557|Wettringen Kreis Steinfurt|00-9999999|
G|2558|Horstmar|00-9999999|
G|2561|Ahaus|00-9999999|
G|2562|Gronau Westfalen|00-9999999|
G|2563|Stadtlohn|00-9999999|
G|2564|Vreden|00-9999999|
G|2565|Gronau-Epe|00-9999999|
G|2566|Legden|00-9999999|
G|2567|Ahaus-Alstätte|00-9999999|
G|2568|Heek|00-9999999|
G|2571|Greven Westfalen|00-9999999|
G|2572|Emsdetten|00-9999999|
G|2573|Nordwalde|00-9999999|
G|2574|Saerbeck|00-9999999|
G|2575|Greven-Reckenfeld|00-9999999|
G|2581|Warendorf|00-9999999|
G|2582|Everswinkel|00-9999999|
G|2583|Sassenberg|00-9999999|
G|2584|Warendorf-Milte|00-9999999|
G|2585|Warendorf-Hoetmar|00-9999999|
G|2586|Beelen|00-9999999|
G|2587|Ennigerloh-Westkirchen|00-9999999|
G|2588|Harsewinkel-Greffen|00-9999999|
G|2590|Dülmen-Buldern|00-9999999|
G|2591|Lüdinghausen|00-9999999|
G|2592|Selm|00-9999999|
G|2593|Ascheberg Westfalen|00-9999999|
G|2594|Dülmen|00-9999999|
G|2595|Olfen|00-9999999|
G|2596|Nordkirchen|00-9999999|
G|2597|Senden Westfalen|00-9999999|
G|2598|Senden-Ottmarsbocholt|00-9999999|
G|2599|Ascheberg-Herbern|00-9999999|
G|2601|Nauort|00-9999999|
G|2602|Montabaur|00-9999999|
G|2603|Bad Ems|00-9999999|
G|2604|Nassau Lahn|00-9999999|
G|2605|Löf|00-9999999|
G|2606|Winningen Mosel|00-9999999|
G|2607|Kobern-Gondorf|00-9999999|
G|2608|Welschneudorf|00-9999999|
G|261|Koblenz am Rhein|000-99999999|
G|2620|Neuhäusel Westerwald|00-9999999|
G|2621|Lahnstein|00-9999999|
G|2622|Bendorf am Rhein|00-9999999|
G|2623|Ransbach-Baumbach|00-9999999|
G|2624|Höhr-Grenzhausen|00-9999999|
G|2625|Ochtendung|00-9999999|
G|2626|Selters Westferwald|00-9999999|
G|2627|Braubach|00-9999999|
G|2628|Rhens|00-9999999|
G|2630|Mülheim-Kärlich|00-9999999|
G|2631|Neuwied|00-9999999|
G|2632|Andernach|00-9999999|
G|2633|Brohl-Lützing|00-9999999|
G|2634|Rengsdorf|00-9999999|
G|2635|Rheinbrohl|00-9999999|
G|2636|Burgbrohl|00-9999999|
G|2637|Weissenthurm|00-9999999|
G|2638|Waldbreitbach|00-9999999|
G|2639|Anhausen Kreis Neuwied|00-9999999|
G|2641|Bad Neuenahr-Ahrweiler|00-9999999|
G|2642|Remagen|00-9999999|
G|2643|Altenahr|00-9999999|
G|2644|Linz am Rhein|00-9999999|
G|2645|Vettelschoss|00-9999999|
G|2646|Königsfeld Eifel|00-9999999|
G|2647|Kesseling|00-9999999|
G|2651|Mayen|00-9999999|
G|2652|Mendig|00-9999999|
G|2653|Kaisersesch|00-9999999|
G|2654|Polch|00-9999999|
G|2655|Weibern|00-9999999|
G|2656|Virneburg|00-9999999|
G|2657|Uersfeld|00-9999999|
G|2661|Bad Marienberg Westerwald|00-9999999|
G|2662|Hachenburg|00-9999999|
G|2663|Westerburg Westerwald|00-9999999|
G|2664|Rennerod|00-9999999|
G|2666|Freilingen Westerwald|00-9999999|
G|2667|Stein-Neukirch|00-9999999|
G|2671|Cochem|00-9999999|
G|2672|Treis-Karden|00-9999999|
G|2673|Ellenz-Poltersdorf|00-9999999|
G|2674|Bad Bertrich|00-9999999|
G|2675|Ediger-Eller|00-9999999|
G|2676|Ulmen|00-9999999|
G|2677|Lutzerath|00-9999999|
G|2678|Büchel bei Cochem|00-9999999|
G|2680|Mündersbach|00-9999999|
G|2681|Altenkirchen Westerwald|00-9999999|
G|2682|Hamm Sieg|00-9999999|
G|2683|Asbach Westerwald|00-9999999|
G|2684|Puderbach Westerwald|00-9999999|
G|2685|Flammersfeld|00-9999999|
G|2686|Weyerbusch|00-9999999|
G|2687|Horhausen Westerwald|00-9999999|
G|2688|Kroppach|00-9999999|
G|2689|Dierdorf|00-9999999|
G|2691|Adenau|00-9999999|
G|2692|Kelberg|00-9999999|
G|2693|Antweiler|00-9999999|
G|2694|Wershofen|00-9999999|
G|2695|Insul|00-9999999|
G|2696|Nohn Eifel|00-9999999|
G|2697|Blankenheim-Ahrhütte|00-9999999|
G|271|Siegen|000-99999999|
G|2721|Lennestadt|00-9999999|
G|2722|Attendorn|00-9999999|
G|2723|Kirchhundem|00-9999999|
G|2724|Finnentrop-Serkenrode|00-9999999|
G|2725|Lennestadt-Oedingen|00-9999999|
G|2732|Kreuztal|00-9999999|
G|2733|Hilchenbach|00-9999999|
G|2734|Freudenberg Westfalen|00-9999999|
G|2735|Neunkirchen Siegerl|00-9999999|
G|2736|Burbach Siegerl|00-9999999|
G|2737|Netphen-Deuz|00-9999999|
G|2738|Netphen|00-9999999|
G|2739|Wilnsdorf|00-9999999|
G|2741|Betzdorf|00-9999999|
G|2742|Wissen|00-9999999|
G|2743|Daaden|00-9999999|
G|2744|Herdorf|00-9999999|
G|2745|Brachbach Sieg|00-9999999|
G|2747|Molzhain|00-9999999|
G|2750|Diedenshausen|00-9999999|
G|2751|Bad Berleburg|00-9999999|
G|2752|Bad Laasphe|00-9999999|
G|2753|Erndtebrück|00-9999999|
G|2754|Bad Laasphe-Feudingen|00-9999999|
G|2755|Bad Berleburg-Schwarzenau|00-9999999|
G|2758|Bad Berleburg-Girkhausen|00-9999999|
G|2759|Bad Berleburg-Aue|00-9999999|
G|2761|Olpe Biggesee|00-9999999|
G|2762|Wenden Südsauerland|00-9999999|
G|2763|Drolshagen-Bleche|00-9999999|
G|2764|Welschen Ennest|00-9999999|
G|2770|Eschenburg|00-9999999|
G|2771|Dillenburg|00-9999999|
G|2772|Herborn Hessen|00-9999999|
G|2773|Haiger|00-9999999|
G|2774|Dietzhölztal|00-9999999|
G|2775|Driedorf|00-9999999|
G|2776|Bad Endbach-Hartenrod|00-9999999|
G|2777|Breitscheid Hessen|00-9999999|
G|2778|Siegbach|00-9999999|
G|2779|Greifenstein-Beilstein|00-9999999|
G|2801|Xanten|00-9999999|
G|2802|Alpen|00-9999999|
G|2803|Wesel-Büderich|00-9999999|
G|2804|Xanten-Marienbaum|00-9999999|
G|281|Wesel|000-99999999|
G|2821|Kleve Niederrhein|00-9999999|
G|2822|Emmerich|00-9999999|
G|2823|Goch|00-9999999|
G|2824|Kalkar|00-9999999|
G|2825|Uedem|00-9999999|
G|2826|Kranenburg Niederrhein|00-9999999|
G|2827|Goch-Hassum|00-9999999|
G|2828|Emmerich-Elten|00-9999999|
G|2831|Geldern|00-9999999|
G|2832|Kevelaer|00-9999999|
G|2833|Kerken|00-9999999|
G|2834|Straelen|00-9999999|
G|2835|Issum|00-9999999|
G|2836|Wachtendonk|00-9999999|
G|2837|Weeze|00-9999999|
G|2838|Sonsbeck|00-9999999|
G|2839|Straelen-Herongen|00-9999999|
G|2841|Moers|00-9999999|
G|2842|Kamp-Lintfort|00-9999999|
G|2843|Rheinberg|00-9999999|
G|2844|Rheinberg-Orsoy|00-9999999|
G|2845|Neukirchen-Vluyn|00-9999999|
G|2850|Rees-Haldern|00-9999999|
G|2851|Rees|00-9999999|
G|2852|Hamminkeln|00-9999999|
G|2853|Schermbeck|00-9999999|
G|2855|Voerde Niederrhein|00-9999999|
G|2856|Hamminkeln-Brünen|00-9999999|
G|2857|Rees-Mehr|00-9999999|
G|2858|Hünxe|00-9999999|
G|2859|Wesel-Bislich|00-9999999|
G|2861|Borken Westfalen|00-9999999|
G|2862|Südlohn|00-9999999|
G|2863|Velen|00-9999999|
G|2864|Reken|00-9999999|
G|2865|Raesfeld|00-9999999|
G|2866|Dorsten-Rhade|00-9999999|
G|2867|Heiden Kreis Borken|00-9999999|
G|2871|Bocholt|00-9999999|
G|2872|Rhede Westfalen|00-9999999|
G|2873|Isselburg-Werth|00-9999999|
G|2874|Isselburg|00-9999999|
G|2902|Warstein|00-9999999|
G|2903|Meschede-Freienohl|00-9999999|
G|2904|Bestwig|00-9999999|
G|2905|Bestwig-Ramsbeck|00-9999999|
G|291|Meschede|000-99999999|
G|2921|Soest|00-9999999|
G|2922|Werl|00-9999999|
G|2923|Lippetal-Herzfeld|00-9999999|
G|2924|Möhnesee|00-9999999|
G|2925|Warstein-Allagen|00-9999999|
G|2927|Neuengeseke|00-9999999|
G|2928|Soest-Ostönnen|00-9999999|
G|2931|Arnsberg|00-9999999|
G|2932|Neheim-Hüsten|00-9999999|
G|2933|Sundern Sauerland|00-9999999|
G|2934|Sundern-Altenhellefeld|00-9999999|
G|2935|Sundern-Hachen|00-9999999|
G|2937|Arnsberg-Oeventrop|00-9999999|
G|2938|Ense|00-9999999|
G|2941|Lippstadt|00-9999999|
G|2942|Geseke|00-9999999|
G|2943|Erwitte|00-9999999|
G|2944|Rietberg-Mastholte|00-9999999|
G|2945|Lippstadt-Benninghausen|00-9999999|
G|2947|Anröchte|00-9999999|
G|2948|Lippstadt-Rebbeke|00-9999999|
G|2951|Büren|00-9999999|
G|2952|Rüthen|00-9999999|
G|2953|Wünnenberg|00-9999999|
G|2954|Rüthen-Oestereiden|00-9999999|
G|2955|Büren-Wewelsburg|00-9999999|
G|2957|Wünnenberg-Haaren|00-9999999|
G|2958|Büren-Harth|00-9999999|
G|2961|Brilon|00-9999999|
G|2962|Olsberg|00-9999999|
G|2963|Brilon-Messinghausen|00-9999999|
G|2964|Brilon-Alme|00-9999999|
G|2971|Schmallenberg-Dorlar|00-9999999|
G|2972|Schmallenberg|00-9999999|
G|2973|Eslohe Sauerland|00-9999999|
G|2974|Schmallenberg-Fredeburg|00-9999999|
G|2975|Schmallenberg-Oberkirchen|00-9999999|
G|2977|Schmallenberg-Bödefeld|00-9999999|
G|2981|Winterberg Westfalen|00-9999999|
G|2982|Medebach|00-9999999|
G|2983|Winterberg-Siedlinghausen|00-9999999|
G|2984|Hallenberg|00-9999999|
G|2985|Winterberg-Niedersfeld|00-9999999|
G|2991|Marsberg-Bredelar|00-9999999|
G|2992|Marsberg|00-9999999|
G|2993|Marsberg-Canstein|00-9999999|
G|2994|Marsberg-Westheim|00-9999999|
G|30|Berlin|000-999999999|
N|32||000000000-99999999999|
G|3301|Oranienburg|00-9999999|
G|3302|Hennigsdorf|00-9999999|
G|3303|Birkenwerder|00-9999999|
G|3304|Velten|00-9999999|
G|33051|Nassenheide|0-999999|
G|33052|Leegebruch|0-999999|
G|33053|Zehlendorf Kreis Oberhavel|0-999999|
G|33054|Liebenwalde|0-999999|
G|33055|Kremmen|0-999999|
G|33056|Mühlenbeck Kreis Oberhavel|0-999999|
G|3306|Gransee|00-9999999|
G|3307|Zehdenick|00-9999999|
G|33080|Marienthal Kreis Oberhavel|0-999999|
G|33082|Menz Kreis Oberhavel|0-999999|
G|33083|Schulzendorf Kreis Oberhavel|0-999999|
G|33084|Gutengermendorf|0-999999|
G|33085|Seilershof|0-999999|
G|33086|Grieben Kreis Oberhavel|0-999999|
G|33087|Bredereiche|0-999999|
G|33088|Falkenthal|0-999999|
G|33089|Himmelpfort|0-999999|
G|33093|Fürstenberg Havel|0-999999|
G|33094|Löwenberg|0-999999|
G|331|Potsdam|000-99999999|
G|33200|Bergholz-Rehbrücke|0-999999|
G|33201|Gross Glienicke|0-999999|
G|33202|Töplitz|0-999999|
G|33203|Kleinmachnow|0-999999|
G|33204|Beelitz Mark|0-999999|
G|33205|Michendorf|0-999999|
G|33206|Fichtenwalde|0-999999|
G|33207|Gross Kreutz|0-999999|
G|33208|Fahrland|0-999999|
G|33209|Caputh|0-999999|
G|3321|Nauen Brandenburg|00-9999999|
G|3322|Falkensee|00-9999999|
G|33230|Börnicke Kreis Havelland|0-999999|
G|33231|Pausin|0-999999|
G|33232|Brieselang|0-999999|
G|33233|Ketzin|0-999999|
G|33234|Wustermark|0-999999|
G|33235|Friesack|0-999999|
G|33237|Paulinenaue|0-999999|
G|33238|Senzke|0-999999|
G|33239|Gross Behnitz|0-999999|
G|3327|Werder Havel|00-9999999|
G|3328|Teltow|00-9999999|
G|3329|Stahnsdorf|00-9999999|
G|3331|Angermünde|00-9999999|
G|3332|Schwedt/Oder|00-9999999|
G|33331|Casekow|0-999999|
G|33332|Gartz Oder|0-999999|
G|33333|Tantow|0-999999|
G|33334|Greiffenberg|0-999999|
G|33335|Pinnow Kreis Uckermark|0-999999|
G|33336|Passow Kreis Uckermark|0-999999|
G|33337|Altkünkendorf|0-999999|
G|33338|Stolpe/Oder|0-999999|
G|3334|Eberswalde|00-9999999|
G|3335|Finowfurt|00-9999999|
G|33361|Joachimsthal|0-999999|
G|33362|Liepe Kreis Barnim|0-999999|
G|33363|Altenhof Kreis Barnim|0-999999|
G|33364|Gross Ziethen Kreis Barnim|0-999999|
G|33365|Lüdersdorf Kreis Barnim|0-999999|
G|33366|Chorin|0-999999|
G|33367|Friedrichswalde Brandenburg|0-999999|
G|33368|Hohensaaten|0-999999|
G|33369|Oderberg|0-999999|
G|3337|Biesenthal Brandenburg|00-9999999|
G|3338|Bernau Brandenburg|00-9999999|
G|33393|Gross Schönebeck Kreis Barnim|0-999999|
G|33394|Blumberg Kreis Barnim|0-999999|
G|33395|Zerpenschleuse|0-999999|
G|33396|Klosterfelde|0-999999|
G|33397|Wandlitz|0-999999|
G|33398|Werneuchen|0-999999|
G|3341|Strausberg|00-9999999|
G|3342|Neuenhagen bei Berlin|00-9999999|
G|33432|Müncheberg|0-999999|
G|33433|Buckow Märkische Schweiz|0-999999|
G|33434|Herzfelde bei Strausberg|0-999999|
G|33435|Rehfelde|0-999999|
G|33436|Prötzel|0-999999|
G|33437|Reichenberg bei Strausberg|0-999999|
G|33438|Altlandsberg|0-999999|
G|33439|Fredersdorf-Vogelsdorf|0-999999|
G|3344|Bad Freienwalde|00-9999999|
G|33451|Heckelberg|0-999999|
G|33452|Neulewin|0-999999|
G|33454|Wölsickendorf/Wollenberg|0-999999|
G|33456|Wriezen|0-999999|
G|33457|Altreetz|0-999999|
G|33458|Falkenberg Mark|0-999999|
G|3346|Seelow|00-9999999|
G|33470|Lietzen|0-999999|
G|33472|Golzow bei Seelow|0-999999|
G|33473|Zechin|0-999999|
G|33474|Neutrebbin|0-999999|
G|33475|Letschin|0-999999|
G|33476|Neuhardenberg|0-999999|
G|33477|Trebnitz bei Müncheberg|0-999999|
G|33478|Gross Neuendorf|0-999999|
G|33479|Küstrin-Kietz|0-999999|
G|335|Frankfurt (Oder)|000-99999999|
G|33601|Podelzig|0-999999|
G|33602|Alt Zeschdorf|0-999999|
G|33603|Falkenhagen bei Seelow|0-999999|
G|33604|Lebus|0-999999|
G|33605|Boossen|0-999999|
G|33606|Müllrose|0-999999|
G|33607|Briesen Mark|0-999999|
G|33608|Jacobsdorf Mark|0-999999|
G|33609|Brieskow-Finkenheerd|0-999999|
G|3361|Fürstenwalde Spree|00-9999999|
G|3362|Erkner|00-9999999|
G|33631|Bad Saarow-Pieskow|0-999999|
G|33632|Hangelsberg|0-999999|
G|33633|Spreenhagen|0-999999|
G|33634|Berkenbrück Kreis Oder-Spree|0-999999|
G|33635|Arensdorf Kreis Oder-Spree|0-999999|
G|33636|Steinhöfel Kreis Oder-Spree|0-999999|
G|33637|Beerfelde|0-999999|
G|33638|Rüdersdorf bei Berlin|0-999999|
G|3364|Eisenhüttenstadt|00-9999999|
G|33652|Neuzelle|0-999999|
G|33653|Ziltendorf|0-999999|
G|33654|Fünfeichen|0-999999|
G|33655|Grunow Kreis Oder-Spree|0-999999|
G|33656|Bahro|0-999999|
G|33657|Steinsdorf Brandenburg|0-999999|
G|3366|Beeskow|00-9999999|
G|33671|Lieberose|0-999999|
G|33672|Pfaffendorfb Beeskow|0-999999|
G|33673|Weichensdorf|0-999999|
G|33674|Trebatsch|0-999999|
G|33675|Tauche|0-999999|
G|33676|Friedland bei Beeskow|0-999999|
G|33677|Glienicke bei Beeskow|0-999999|
G|33678|Storkow Mark|0-999999|
G|33679|Wendisch Rietz|0-999999|
G|33701|Grossbeeren|0-999999|
G|33702|Wünsdorf|0-999999|
G|33703|Sperenberg|0-999999|
G|33704|Baruth Mark|0-999999|
G|33708|Rangsdorf|0-999999|
G|3371|Luckenwalde|00-9999999|
